,study_time,social_media_usage,sleep_quality,headache_freq,study_load,extracurricular_freq,screen_time,sleep_hours,physical_activity,exam_anxiety,stress_level,mental_strain,recovery_score,performance_pressure,lifestyle_stress,burnout_score,burnout_level
0,0.0,1.0,0.5,0.25,0.0,0.5,0.7899999999999998,1.0,0.9300000000000002,1,0.0,0.25,1.0,0.0,0.7899999999999998,0.1,Low
1,0.0,0.41666666666666663,0.25,0.25,0.0,0.0,0.7699999999999998,0.040000000000000036,0.13999999999999999,0,0.49699398797595185,0.7469939879759518,0.25,0.0,1.7299999999999998,0.5237975951903807,Medium
2,0.10526315789473684,0.25,1.0,0.25,0.25,0.0,0.37,0.21999999999999997,0.22000000000000003,1,0.1032064128256513,0.6032064128256514,1.0,0.2236842105263158,1.15,0.3083878282881553,Low
3,0.10526315789473684,0.5833333333333333,0.75,0.0,0.0,1.0,0.2799999999999999,0.6000000000000001,0.06,1,0.09018036072144286,0.09018036072144286,1.75,0.0,0.6799999999999998,-0.18892785571142284,Low
4,0.10526315789473684,1.0,0.0,0.25,0.75,0.0,0.63,0.44000000000000017,0.9,1,0.9579158316633266,1.9579158316633265,0.0,0.6710526315789473,1.19,1.2844821221390148,High
5,0.6842105263157894,0.25,0.0,0.0,0.25,0.0,0.42,0.72,0.27,0,0.6292585170340681,0.8792585170340681,0.0,0.07894736842105265,0.7,0.675387617339943,Medium
6,0.6842105263157894,0.25,0.5,0.0,0.5,1.0,0.7499999999999998,0.74,0.39,0,0.12625250501002003,0.62625250501002,1.5,0.1578947368421053,1.0099999999999998,0.14786942305663964,Low
7,0.10526315789473684,0.41666666666666663,1.0,0.5,0.0,0.5,0.24999999999999994,0.8600000000000001,0.9,1,0.314629258517034,0.814629258517034,1.5,0.0,0.38999999999999985,0.17585170340681364,Low
8,0.47368421052631576,0.25,0.0,0.5,0.5,0.5,0.8199999999999998,0.3599999999999999,0.76,0,0.9659318637274549,1.9659318637274548,0.5,0.26315789473684215,1.46,1.0153201139120345,High
9,0.0,0.25,0.0,0.25,0.75,0.0,0.24,0.30000000000000004,0.9,0,0.6713426853707414,1.6713426853707414,0.0,0.75,0.94,1.1935370741482965,High
10,0.2631578947368421,0.16666666666666666,0.25,0.5,0.0,0.0,0.8199999999999998,0.28,0.03,1,0.9739478957915831,1.473947895791583,0.25,0.0,1.5399999999999998,0.8145791583166332,High
11,0.10526315789473684,0.25,0.5,0.0,0.25,1.0,0.59,0.040000000000000036,0.04000000000000001,1,0.39679358717434865,0.6467935871743486,1.5,0.2236842105263158,1.5499999999999998,0.17582269802763423,Low
12,0.47368421052631576,1.0,0.25,0.5,0.75,1.0,0.5299999999999999,0.56,0.9800000000000001,1,0.1192384769539078,1.3692384769539077,1.25,0.3947368421052632,0.9699999999999999,0.591116443413142,Medium
13,0.10526315789473684,0.25,0.5,0.0,0.25,0.0,0.08999999999999996,0.9199999999999999,0.25,0,0.7094188376753506,0.9594188376753506,0.5,0.2236842105263158,0.17000000000000004,0.6008727982280351,Medium
14,0.10526315789473684,0.5833333333333333,1.0,0.5,1.0,0.0,0.26999999999999996,0.3400000000000001,0.8300000000000001,1,0.6673346693386772,2.1673346693386772,1.0,0.8947368421052632,0.9299999999999999,1.1353549203670499,High
15,0.10526315789473684,0.25,0.75,0.5,0.25,1.0,0.7099999999999999,0.19999999999999996,0.11000000000000001,1,0.10521042084168336,0.8552104208416833,1.75,0.2236842105263158,1.5099999999999998,0.18418943149456807,Low
16,0.2631578947368421,0.25,0.5,0.0,1.0,0.0,0.9599999999999997,0.8,0.13999999999999999,0,0.12024048096192383,1.1202404809619237,0.5,0.736842105263158,1.1599999999999997,0.8191488239637169,High
